question,query,answer_llama8b,retrieve_data_llama8b,BLEU_score_llama8b,SQ_score_llama8b
What are all the viruses mentioned in the dataset?,MATCH (v:Virus) RETURN v.name,MATCH (v:Virus) RETURN v.name,1.0,1.0,1
Which symptoms are caused by the virus Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom) RETURN s.name,"MATCH (v:Virus {name: ""Mpox""})-[:CAUSES]->(s:Symptom) RETURN s.name",1.0,0.833078701050083,0
What locations are affected by Mpox?,"MATCH (v:Virus {name: 'Mpox'})-[:AFFECTS]->(l:Location) RETURN l.name, l.country","MATCH (v:Virus {name: ""Mpox""})-[:AFFECTS]->(l:Location) RETURN l.name",1.0,0.7775613902943905,0
What transmission methods are related to Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) RETURN t.method,"MATCH (t:Transmission)<-[:SPREADS_BY]-(v:Virus {name:""Mpox""}) RETURN t.method",1.0,0.6529218823592332,0
Which organizations are involved in Mpox?,MATCH (v:Virus {name: 'Mpox'})<-[:INVOLVED_IN]-(o:Organization) RETURN o.name,,0.0,0.0,0
What are all the symptoms in the dataset?,MATCH (s:Symptom) RETURN s.name,MATCH (s:Symptom) RETURN s.name,1.0,1.0,1
Which viruses cause the symptom 'Fever'?,MATCH (s:Symptom {name: 'Fever'})<-[:CAUSES]-(v:Virus) RETURN v.name, MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name = 'Fever' RETURN v.name,1.0,0.4900335872778243,0
Which articles mention the symptom 'Rash'?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Rash'}) RETURN a.url,MATCH (article:Article)-[:MENTIONS_SYMPTOM]->(symptom:Symptom {name: 'Rash'}) RETURN article,1.0,0.7114816503808935,0
How many viruses cause each symptom?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN s.name, count(v) AS virus_count","MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN s.name, COUNT(v) AS num_viruses",1.0,0.8179966936311643,0
What are all the locations in the dataset?,"MATCH (l:Location) RETURN l.name, l.country",MATCH (l:Location) RETURN l;,1.0,0.49534429052082446,0
Which viruses affect Mexico?,MATCH (l:Location {name: 'Mexico'})<-[:AFFECTS]-(v:Virus) RETURN v.name,MATCH (v:Virus)-[:AFFECTS]->(l:Location {country: 'Mexico'}) RETURN v.name AS virus_name ORDER BY v.name,0.0,0.4906029156989193,0
