question,query,answer_mixtral7b,retrieve_data_mixtral7b,BLEU_score_mixtral7b,SQ_score_mixtral7b
What are all the viruses mentioned in the dataset?,MATCH (v:Virus) RETURN v.name,MATCH (v:Virus)RETURN v.name,1.0,1.0,0
Which symptoms are caused by the virus Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom) RETURN s.name,MATCH (v:Virus)-[:CAUSES]->(s:Symptom)WHERE v.name = 'Mpox'RETURN s.name,1.0,0.6413865258981679,0
What locations are affected by Mpox?,"MATCH (v:Virus {name: 'Mpox'})-[:AFFECTS]->(l:Location) RETURN l.name, l.country","MATCH (v:Virus)-[:AFFECTS]->(l:Location)WHERE v.name = 'Mpox'RETURN l.name, l.country",1.0,0.6927198915629021,0
What transmission methods are related to Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) RETURN t.method,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE v.name = 'Mpox' RETURN t.method,1.0,0.688064006088096,0
Which organizations are involved in Mpox?,MATCH (v:Virus {name: 'Mpox'})<-[:INVOLVED_IN]-(o:Organization) RETURN o.name,MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)WHERE v.name = 'Mpox'RETURN o.name,1.0,0.5065691202419945,0
What are all the symptoms in the dataset?,MATCH (s:Symptom) RETURN s.name,MATCH (s:Symptom) RETURN s.name,1.0,1.0,1
Which viruses cause the symptom 'Fever'?,MATCH (s:Symptom {name: 'Fever'})<-[:CAUSES]-(v:Virus) RETURN v.name,MATCH (v:Virus)-[:CAUSES]->(s:Symptom)WHERE s.name = 'Fever'RETURN v.name,1.0,0.46024953713619404,0
Which articles mention the symptom 'Rash'?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Rash'}) RETURN a.url,,0.0,0.0,0
How many viruses cause each symptom?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN s.name, count(v) AS virus_count","MATCH (s:Symptom)<-[:CAUSES]-(v:Virus)RETURN s.name, count(v)ORDER BY count(v) DESC",1.0,0.6123460249638117,0
What are all the locations in the dataset?,"MATCH (l:Location) RETURN l.name, l.country","MATCH (l:Location)RETURN l.name AS location, l.country AS country",1.0,0.6540585844910979,0
Which viruses affect Mexico?,MATCH (l:Location {name: 'Mexico'})<-[:AFFECTS]-(v:Virus) RETURN v.name,MATCH (v:Virus)-[:AFFECTS]->(l:Location)WHERE l.name = 'Mexico'RETURN v.name,1.0,0.46024953713619404,0
Which articles mention Mexico?,MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN a.url,The query does not generate!,0.0,0.0,0
What locations are affected by more than one virus?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WITH l, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN l.name, virus_count",MATCH (virus:Virus)-[:AFFECTS]->(location:Location)<-[:AFFECTS]-(otherVirus:Virus)WHERE virus <> otherVirusRETURN DISTINCT location.name AS LocationORDER BY Location,1.0,0.31724144193181936,0
What are all the transmission methods in the dataset?,MATCH (t:Transmission) RETURN t.method,MATCH (t:Transmission) RETURN t.method,1.0,1.0,1
Which viruses are spread by 'Airborne Transmission'?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne Transmission'}) RETURN v.name,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission)WHERE t.name = 'Airborne Transmission'RETURN v.name,0.0,0.6770927588218635,0
