question,true_value,predict_value,model
"Thank you for reading!

Please log in, or sign up for a new account and purchase a subscription to continue reading.",True,0,llama37b
"Case in Comodoro Rivadavia not mpox, lab tests show

29th Thursday, August 2024 - 08:18 UTC Full article

People who have had mpox in the past are more likely to have some immunity than others, the WHO explained

Health authorities in the Argentine Patagonian city of Comodoro Rivadavia admitted Wednesday that a suspected case of monkeypox was ruled out after the laboratory results came in.

A man had showed up last week at a local private sanatorium with symptoms compatible with the disease and with a history of recent trips to other cities. Blood samples were sent to the Malbrán Institute in Buenos Aires and the results were negative. Pending the outcome of the Malbrán Institute tests, the patient had been isolated at his home.

In Comodoro, we have no patients infected with this...; there are no cases at the moment, Regional Hospital Associate Director Laura Álvarez told local media. It is important to respect and be cautious about this type of situation, taking into account the sensitivity of the recent Covid; we should not stigmatize, she added while insisting that people with any compatible symptoms who had been in contact with people who had a travel history sought medical help.

Also Wednesday, the World Health Organization (WHO) issued an advisory recalling, among other topics, that anyone can catch mpox, regardless of their age, gender, sexual orientation, or lifestyle. The United Nations agency also underlined that people with the malady's distinctive symptoms should remain isolated, and listed the following as signs to be on alert for:

• Rash that develops into blisters

• Sore throat

• Fever

• Low energy

• Headache

• Muscle aches

If you experience these symptoms, isolate at home, contact a health worker, and get tested, the WHO noted while explaining that people who have had the disease in the past are more likely to have some immunity than others and would therefore be chosen to be the designated caregiver in case other family member contracted it. However, the WHO recommended that even these people should be doing everything you can to avoid getting re-infected.",True,0.8,llama37b
"JOHOR BARU: Johor, known as the southern gateway into Malaysia, is stepping up measures to curb monkeypox (mpox) from affecting its healthcare system.

“The Health Ministry has provided an action plan to face mpox. As of Saturday, the ministry has reported nine mpox cases so far.

“The ministry has also conducted a briefing on Aug 17 where the Johor Health Department has and will carry out several measures to create public awareness on the disease,” state health and environment committee chairman Ling Tian Soon said.

The World Health Organisation on Aug 14 declared mpox a public health emergency of international concern (PHEIC) following a major spike in cases reported by various countries.

Ling, who is also the Yong Peng assemblyman, said among measures taken by the department include strengthening public health screening activities at international entry points and health facilities in Johor.

He said health personnel are being stationed at international checkpoints at Bangunan Sultan Iskandar Customs, Immigration and Quarantine (CIQ), Sultan Abu Bakar Complex CIQ, Senai International Airport and international ferry terminals.

Ling said training and briefing had been given to health personnel on the field for the purpose of early detection, isolation and treatment.

“Body temperature scanning devices are already in place at these international checkpoints to carry out checks on everyone coming in and out of the country.

“Health personnel will carry out observation on each individual, regardless whether they come from countries that have already reported mpox cases, to look for signs if they are unhealthy before carrying out further checks,” he added.

Ling said among the countries that had reported high numbers of mpox cases are the United States, Brazil, Spain, Congo, France, Colombia, Mexico, United Kingdom, Peru and Germany.

He said the Health Department will also be disseminating information on mpox to create public awareness through social media, targeting high-risk groups.

A state-level mpox operation room is on standby if needed to be activated in response to PHEIC and based on the latest instructions from the Health Ministry.

“However, as of now, no mpox cases have been reported in Johor,” Ling said, urging those who show early symptoms of mpox such as chills, exhaustion, fever, headache, muscle aches and backache, and swollen lymph nodes to immediately seek treatment.",True,0.8,llama37b
"Argentina’s Pope Francis has urged governments and pharmaceutical companies to provide adequate medical assistance for mpox patients worldwide. His call to action resonates particularly in Latin America, where healthcare disparities and infectious disease outbreaks have long posed significant challenges.

Argentina’s Pope Francis, known for his deep compassion and commitment to the well-being of all people, recently spoke out about the growing threat of mpox (formerly known as monkeypox). During his Sunday Angelus address, the Pope expressed solidarity with the thousands suffering from this infectious disease. He urged governments and private industries to ensure adequate medical care is available to everyone, regardless of their geographic location or economic status. His message resonates strongly, particularly in regions like Latin America, where the intersection of poverty, inequality, and healthcare challenges exacerbates the impact of global health crises.

The Pope’s words are more than just a call for empathy; they are a plea for action. The mpox outbreak, now recognized as a global health emergency by the World Health Organization (WHO), has already claimed over 21,500 cases and 591 lives in Africa alone since January 1. Yet, this crisis is not confined to one continent. It threatens global public health, requiring a united and coordinated international response.

Latin America’s Healthcare Struggles

The Pope’s call for equitable healthcare rings particularly true in Latin America. The region has long been plagued by healthcare disparities, with millions lacking access to even the most basic medical services. In countries like Venezuela and Haiti, healthcare systems are in a state of near collapse, with shortages of medicines, medical supplies, and trained healthcare professionals. Even in more developed nations like Brazil and Argentina, the public healthcare system struggles to meet the needs of its population, particularly in rural and underserved areas.

During the COVID-19 pandemic, Latin America bore the brunt of the virus, experiencing some of the highest infection and death rates in the world. The region’s fragile healthcare systems were overwhelmed, leading to a catastrophic loss of life and exposing deep-seated inequalities in access to medical care. The lessons learned from that crisis are still fresh, yet the current mpox outbreak threatens to push these already strained systems to the brink again.

The Need for Solidarity and Shared Responsibility

Pope Francis’ call for solidarity is not just a moral imperative but a practical necessity. The mpox outbreak, like COVID-19, does not respect borders. In an interconnected world, the health of one population is intrinsically linked to the health of others. If we fail to act decisively and equitably, we risk allowing mpox to become another pandemic that disproportionately affects the most vulnerable.

The Pope’s message to governments and private industries to “share technology and treatments” is crucial in this fight. The development and distribution of vaccines and antiviral treatments must be prioritized, focusing on making them accessible to all, particularly in low- and middle-income countries. This is not just a matter of charity; it is a matter of global security. As we saw with COVID-19, the unequal distribution of vaccines and treatments prolongs the pandemic and allows the virus to continue spreading and evolving.

With its history of infectious disease outbreaks, Latin America knows all too well the consequences of delayed or inadequate responses. The region has faced numerous public health crises over the years, from the Zika virus to dengue fever, often with insufficient international support. The current mpox outbreak presents an opportunity to do things differently and act with the urgency and unity that the situation demands.

Private Sector’s Role

The Pope’s call also challenges the private sector, particularly pharmaceutical companies, to put the public good above profit. This is a radical but necessary demand in a world where a country’s wealth often determines access to life-saving treatments. The pharmaceutical industry wields enormous power in deciding who gets access to the treatments and vaccines that can prevent or mitigate diseases like mpox. In Latin America, where economic disparities are stark, the cost of medicines often puts them out of reach for the most vulnerable populations.

The private sector has a moral and ethical responsibility to ensure that life-saving treatments are accessible to all, not just those who can afford them. This means reducing the price of vaccines and medicines, sharing technology and patents, and working with governments to distribute these resources where they are needed most. It also means investing in the research and development of treatments specifically designed to meet the needs of low- and middle-income countries, where diseases like mpox are more likely to spread unchecked.

The Call to Lead by Example

Latin American countries have a unique opportunity to lead by example in responding to the mpox crisis. Governments in the region must prioritize public health and take decisive action to prevent the spread of the disease. This includes investing in healthcare infrastructure, increasing access to vaccines and treatments, and ensuring the most vulnerable populations are not left behind.

In Argentina, Pope Francis’ homeland, the government is responsible for heeding his call. Argentina has a robust public healthcare system compared to its neighbors, but underfunding and regional disparities in access to care still plague it. By leading in the global response to mpox, Argentina can set a powerful example for the rest of the region and the world.

Brazil, the largest and most populous country in Latin America, also has a critical role to play. The government has a strong tradition of public health initiatives, including its world-renowned HIV/AIDS programs. However, Brazil faces significant challenges, including political instability and a deeply divided society. The government must rise above these challenges and take decisive action to protect its citizens from the growing threat of mpox.

The Moral Imperative: Health as a Human Right

At the heart of Pope Francis’ message is the belief that health is a fundamental human right. This principle is enshrined in international law and is a core tenet of Catholic social teaching. Yet, in practice, access to healthcare is often treated as a privilege reserved for those who can afford it.

The mpox outbreak is a stark reminder of the inequalities in our global healthcare system. The fact that people in some parts of the world are more likely to suffer and die from this disease simply because of where they were born is a grave injustice. It is incumbent upon all of us, as individuals, communities, and nations, to work towards a world where everyone can access the care they need.

With its substantial social justice and human rights tradition, Latin America is well-positioned to lead this fight. The region has a long history of advocating for the rights of the poor and marginalized, and this tradition must guide its response to the mpox crisis. By ensuring that everyone, regardless of their economic status or geographic location, has access to life-saving treatments, Latin America can help to build a more just and equitable world.

Answering the Pope’s Call

Pope Francis has issued a clarion call for action in the face of the global mpox crisis. His words resonate deeply, particularly in Latin America, where the impact of health disparities is felt most acutely. But this is not just a call for governments and industries but for all of us to recognize our shared responsibility in addressing this crisis.

The lessons of the COVID-19 pandemic are still fresh in our minds. We know that inaction, inequality, and a lack of solidarity can have devastating consequences. The mpox outbreak allows us to do things differently and respond with compassion, urgency, and a commitment to justice.

Also read: Latin America Must Tighten Borders Against Growing Mpox Threat

In Latin America, where the fight for health equity has long been a central struggle, this is a moment to lead by example. By answering the Pope’s call, we can ensure that no one is left behind in this global health crisis. Together, we can build a world where health is a right for all, not just a privilege for the few.",True,0.8,llama37b
"BUENOS AIRES (Reuters) – Argentine authorities have quarantined a cargo ship in the Parana River near the inland grains port of Rosario over a suspected case of mpox onboard, an industry official said on Tuesday.

Fernando Morales, president of industry body the Argentine Naval League, said that a Liberian-flagged ship set to pick up soy cargo had been ordered to drop anchor in the river while a test on a crew member was carried out.

“A crew member with fever and weakness was taken to a hospital in San Nicolas. There they carried out some tests and they say that in principle it could be mpox,” Morales said, adding that the diagnosis was not yet confirmed.

The World Health Organization last week declared mpox a global public health emergency for the second time in two years as a new variant of the virus spread rapidly in Africa. A day later, a case of the clade 1b variant was confirmed in Sweden, the first sign of its spread outside Africa.

Mpox, a viral infection that causes pus-filled lesions and flu-like symptoms, is usually mild but can kill. The clade 1b variety has caused concern because it seems to spread more easily through routine close contact.

Morales said health authorities were guarding the ship and would examine other members of the crew.

Some 13 countries have reported mpox cases caused by other strains across the Americas this year, according to WHO data as of last week. Argentina has previously recorded eight cases.",True,0.8,llama37b
"By Alex Stambaugh, Larry Madowo and Kathleen Magramo, CNN

(CNN) — African nations could begin vaccinations against mpox within days, according to the continent’s top public health agency, as a World Health Organization official said the spread of a deadlier strain of the virus could be controlled and “was not the new Covid.”

The Democratic Republic of Congo (DRC) is at the epicenter of an mpox outbreak declared a global health emergency last week by WHO, with the deadlier clade Ib strain that is spreading quickly in the country detected in at least four other African nations.

“We didn’t start vaccinations yet. We’ll start in a few days if we are sure that everything is in place. End of next week, vaccines will start to arrive in DRC and other countries,” Africa CDC Director General Jean Kaseya told a briefing on Tuesday.

The viral disease, formerly known as monkeypox, can spread easily between people and from infected animals through close contact such as touching, kissing or sex, as well as through contaminated materials like sheets, clothing and needles, according to WHO. Symptoms include a fever, a painful rash, headache, muscle and back pain, low energy and enlarged lymph nodes.

Around 1,400 mpox infections have been reported across Africa over the past week, bringing the total number of cases on the continent to nearly 19,000 since the start of the year – up more than 100% on the same period last year, according to the Africa CDC. The latest outbreak has killed more than 500 people, the agency’s latest available data shows.

That’s prompted a scramble for vaccines as health officials in Africa work with overseas partners to meet a massive shortfall of doses.

“We need to have vaccines,” Kaseya told NPR last week. “Today, we are just talking about almost 200,000 doses (becoming) available. We need at least 10 million doses. The vaccine is so expensive — we can put it around $100 per dose. There are not so many countries in Africa that can afford the cost of this vaccine.”

The European Union and Danish vaccine maker Bavarian Nordic have so far pledged support, the European Commission said last week. Japan and the United States have also offered doses, Reuters reported, citing the DRC’s health minister.

‘Not the new Covid’

WHO’s declaration of a global health emergency is the second time in two years that the United Nations health agency has raised the alarm over the spread of mpox, which for decades had been found largely in central and western Africa.

Mpox is characterized by two genetic clades, I and II. A clade is a broad grouping of viruses that has evolved over decades that has distinct genetic and clinical differences.

Clade II was responsible for a global outbreak that was also declared to be a global health emergency from July 2022 to May 2023. But the new outbreak is driven by clade I, which causes more severe disease. The subtype that’s responsible for most of the ongoing spread, clade Ib, is relatively new.

Last week, the first clade lb case outside Africa was confirmed in Sweden in a patient who had recently traveled to the continent.

But with nations worldwide on high alert for the virus, a WHO official on Tuesday played down fears of a new pandemic as he called for a coordinated response to the outbreak.

“Mpox is not the new Covid,” WHO Europe Director Hans Kluge told a press briefing.

While more research is needed on the clade Ib strain, its spread can be controlled, he said.

“We know how to control mpox. And, in the European region, the steps needed to eliminate its transmission altogether,” Kluge said.

“The need for a coordinated response is now greatest in the African region,” he said. “We can, and must, tackle mpox together – across regions and continents.”

Kluge’s comments came as Argentina placed a cargo ship in quarantine after a crew member showed symptoms of mpox. Meanwhile, the Philippines and Thailand reported cases of mpox in travelers who had been to Africa.

The-CNN-Wire

™ & © 2024 Cable News Network, Inc., a Warner Bros. Discovery Company. All rights reserved.

About The Author

Share this!",True,0.8,llama37b
"Argentina quarantines grains ship over suspected mpox case

reuters_tickers

2 minutes

By Eliana Raszewski and Walter Bianchi

BUENOS AIRES (Reuters) -Argentine authorities have quarantined a cargo ship in the Parana River over a suspected case of mpox onboard, the government said on Tuesday, as global public health authorities remain on alert for a new faster-spreading variant of the virus.

The quarantined Liberian-flagged ship was sailing from Santos, Brazil – also a major commodities hub – to pick up soy cargo, according to the health ministry and industry body the Argentine Naval League.

The World Health Organization (WHO) last week declared mpox a global public health emergency for the second time in two years as a new variant of the virus spread rapidly in Africa. A day later, a case of the clade 1b variant was confirmed in Sweden, the first sign of its spread outside Africa.

The ship near Argentina’s inland grains port of Rosario alerted authorities that “one of its crew members of Indian nationality showed cyst-like skin lesions predominantly on the chest and face,” the ministry said in a statement, adding the person had been isolated from the rest of the crew.

The ministry said public health emergency protocol was then activated and the ship, which had been bound for the San Lorenzo port in the Santa Fe province, had to drop anchor in the river.

Only medical personnel will be able to board the ship, while the whole crew will be required to quarantine pending test results, the ministry added.

Mpox, a viral infection that causes pus-filled lesions and flu-like symptoms, is usually mild but can kill. The clade 1b strain has caused concern because it seems to spread more easily through routine close contact.

Some 13 countries have reported mpox cases caused by other strains across the Americas this year, according to WHO data as of last week. Argentina has previously recorded eight cases, though none were the clade 1b strain.

Denmark’s Bavarian Nordic is set to decide this week on whether to ramp up vaccine production, while Swiss pharmaceutical company Roche has said it is looking to boost its laboratory testing capacity.

(Reporting by Eliana Raszewski, Nicolas Misculin and Walter Bianchi; Editing by Adam Jourdan, Sarah Morland, Rosalba O’Brien and Jamie Freed)",True,0.8,llama37b
"ARGENTINA – Health authorities in Argentina say they will inspect and quarantine a cargo ship in its waters after a crew member showed symptoms of mpox. A spokesperson for the country’s health ministry told CNN the inspection would be carried out by the border health service, which has already contacted the crew. According to the ship tracking service MarineTraffic, the vessel was anchored on a river off its destination in San Lorenzo as of 6:10 p.m. ET. Its previous stop was in Santos, Brazil.

Medical personnel will board it and inspect whether the crew member’s symptoms are compatible with mpox. If they are, they will take samples for study. The ship will remain in the harbor and the entire crew will be quarantined until the results of the studies are available. So far, the ministry has not said how many people are on board the Liberia-flagged ship named Ina-Lotte.

On Friday, the ministry called for strengthening border health control measures in Argentina, two days after the World Health Organization declared a public health emergency of international concern due to an outbreak of mpox in parts of Africa. Other Latin American countries, such as Colombia, El Salvador, Venezuela and Mexico have announced similar surveillance measures. A deadlier strain of the virus, clade 1b, is spreading quickly in the Democratic Republic of Congo and has reached at least four previously unaffected countries in Africa. (CNN)…[+]",False,0.8,llama37b
"Authorities reported 53 positive cases of Mpox throughout Mexico; CDMX leads the list of infections.

Quintana Roo is positioned as the second state with the highest number of confirmed cases of monkeypox in Mexico, with a total of eight cases until August 10, 2024, one more compared to week 31, according to the latest report from the National Epidemiological Surveillance System (Sinave).

According to the most recent epidemiological report of week 32, from the Ministry of Health, Mexico has registered 53 confirmed cases of monkeypox (Mpox) until August 10, 2024. The vast majority of these cases, 51 in total, have occurred in men.

The entities with the highest number of infections are Mexico City, with 32 cases; Quintana Roo, with eight cases; and Jalisco, with three cases.

During July 2024, Sinave documented an increase of seven cases, going from 42 to 49 confirmed patients. By August 10, the number of cases had increased to 53.

Distribution of confirmed cases by state

As of August 5, 2024, the distribution of confirmed cases of monkeypox in Mexico is as follows:

1- Mexico City: 32 cases (three new confirmed cases)

2- Quintana Roo: 8 cases (one new confirmed case)

3- Jalisco: 3 cases

4- Morelos: 2 cases

5- Puebla: 2 cases

6- State of Mexico: 1 case

7- Nuevo León: 1 case

8- Sinaloa: 1 case

9- Tlaxcala: 1 case

10- Veracruz: 1 case

11- Tamaulipas: 1 case

Comparison and health response in other years

In comparison, during the same period in 2023, there were 285 cases of monkeypox in Mexico. At the global level, the World Health Organization (WHO) declared a health emergency on August 14, 2024, due to a significant increase in cases in the Democratic Republic of the Congo and other African countries.

This declaration follows a public health emergency of international concern (PHEIC) that was issued in July 2022 and concluded in May 2023.

In response to the global health emergency, the National Committee for Epidemiological Surveillance (Conave) issued an epidemiological notice on August 14, 2024. This notice establishes the actions that medical personnel in health units must follow to identify and report probable cases of monkeypox, with the aim of interrupting the chains of contagion and providing timely medical care.

Recommendations against Mpox

Among the recommendations for the population, the Ministry of Health suggests:

– Wash your hands frequently with soap and water or use an alcohol gel solution.

– Wear a medical mask in public places. – Avoid sharing food, drinks, cutlery, and plates.

– Clean and disinfect areas that have been occupied by a sick person.

– Cover your nose and mouth when coughing or sneezing using the inside of your elbow.

These measures are crucial to limit the spread of the virus and protect public health in Mexico.

With information from the Ministry of Health

TYT Newsroom",True,0.83,llama37b
Failed to extract article: Article `download()` failed with 404 Client Error: Not Found for url: https://gazette.com/news/us-world/argentina-quarantines-grains-ship-over-suspected-mpox-case/article_a405d769-ccef-5ffa-b742-b1ab08fb8a44.html on URL https://gazette.com/news/us-world/argentina-quarantines-grains-ship-over-suspected-mpox-case/article_a405d769-ccef-5ffa-b742-b1ab08fb8a44.html,True,0,llama37b
